Column,Phi Coefficient,P-value,Significant 0.1,Significant 0.05,Significant 0.01
$eq,0.08613523235361699,0.1973445139252078,False,False,False
$gt,0.055968356591591495,0.4022229995323431,False,False,False
$in,0.07056089519199879,0.2909413614822473,False,False,False
$ne,0.1727185665577534,0.009737481705364296,True,True,True
$nin,0.004795459889571529,0.9427834582253255,False,False,False
$type,0.09504298325597839,0.15488894901564945,False,False,False
$mod,0.004795459889571529,0.9427834582253255,False,False,False
$regex,0.08006523405673249,0.23079764009860607,False,False,False
$where,0.11104504640461153,0.09651877524572479,True,False,False
$elemMatch,0.11104504640461153,0.09651877524572479,True,False,False
$size,0.0369145423668659,0.5806152315243337,False,False,False
$,0.32600281665209946,1.0653678148033842e-06,True,True,True
>=,0.004795459889571529,0.9427834582253255,False,False,False
<=,0.05437649268574571,0.4157407293669543,False,False,False
<,0.05437649268574571,0.4157407293669543,False,False,False
>,0.05437649268574571,0.4157407293669543,False,False,False
selector_comparision,0.12672397767463786,0.05787667883941351,True,False,False
selector_logical,0.12672397767463786,0.05787667883941351,True,False,False
selector_element,0.12672397767463786,0.05787667883941351,True,False,False
selector_evalutaion,0.12672397767463786,0.05787667883941351,True,False,False
selector_array,0.12672397767463786,0.05787667883941351,True,False,False
selector_bitwise,0.12672397767463786,0.05787667883941351,True,False,False
projection,0.12672397767463786,0.05787667883941351,True,False,False
misc,0.12672397767463786,0.05787667883941351,True,False,False
selector,0.12672397767463786,0.05787667883941351,True,False,False
standard_logical,0.12672397767463786,0.05787667883941351,True,False,False
all_operators,0.12672397767463786,0.05787667883941351,True,False,False
null_operand,0.12672397767463786,0.05787667883941351,True,False,False
regex_null_operand,0.12672397767463786,0.05787667883941351,True,False,False
